,Unnamed: 0,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,lenth,note emotion,lab emotion,color,bee lenth,CNNpossibility,Season
31,31,{0212ED16-88CB-4789-B254-B5A2DF10F5CB},2020-08-07 00:00:00, ,0,Thanks for the submission. That was a female horntail sawfly. ,2020-08-07,45.621509,-122.591326,0.0,0.0,0.0906639041462196,0,0,0.5347433090209961,8
32,32,{02260072-09C1-420C-9C0F-2BCD61C97D17},2020-08-31 00:00:00,Loud as hell when flying,0,"Thanks for the submission. That is a wood wasp, or horntail sawfly.",2020-08-31,47.69676,-117.200461,0.0909090909090909,0.0201725687469958,0.193269164347049,0,0,0.6559008359909058,8
37,37,{0255CB0C-2D05-4F5A-A556-BA054287C5A1},2020-09-10 00:00:00,Second hornet. In red onion flowers.,0,Thanks for the submission. That is the great golden digger wasp.,2020-09-10,48.718875,-122.50155,0.138339920948617,0.0293471516153585,0.26040129950124,1,0,0.550256609916687,9
38,38,{0257D22F-060A-427D-8ABC-4B931A408B86},2020-07-17 00:00:00,"Found dead insect in parking lot of University Court Apartments 2102 N Walnut St Ellensburg, WA 98926",0,That was a beetle. Poor thing.,2020-07-17,47.013612,-120.53845,0.395256916996047,0.378143903873308,0.117504235374996,0,0,0.5169885754585266,7
39,39,{0258F644-F8FF-48F6-9B5C-8902259012FC},2020-06-14 00:00:00,Actually appears to be an elm sawfly. Please verify,0,"Yes, you are correct! Great job.",2020-06-14,47.689009,-121.949504,0.197628458498024,0.0008392328105582,0.129057082853434,0,0,0.7026787400245667,6
41,41,{02628EC2-B779-4FEB-BC2B-110ACE760117},2020-09-03 00:00:00,"This was taken from my ring camera, looks to be trapped in a spider web this is in Ocean Shores",0,Thanks for the submission. That looks like a wasp. Your county is Negative for Asian giant hornet.,2020-09-03,46.928157,-124.16717,0.371541501976284,0.0883280960082234,0.455574818697112,0,0,0.575819705040699,9
46,46,{02DE5DA2-EBE2-4E85-9013-BD13C4D11DC9},2020-07-16 00:00:00, ,0,That's a horntail wasp. Please don't kill them.,2020-07-16,47.68774,-122.18811,0.0,0.0,0.0861363793766983,0,0,0.5707261562347412,7
48,48,{033AE404-26AC-437A-809B-DD84E249D3DE},2020-08-12 00:00:00,Picture was taken at Sumner Rv in Sumner Wa.,0,"Thanks for the submission. That is either a paper wasp (Polistes) variety, or a Spider wasp (Pompilidae) . Gorgeous picture! You should submit that to BugGuide.net.",2020-08-12,47.217854,-122.225826,0.1699604743083,0.0167777631101812,0.784607508101314,0,0,0.6441140174865723,8
49,49,{034E5CF8-2FFA-491A-9531-D04B71A31F9E},2020-07-22 00:00:00, ,0,Ten lined June bug beetle.,2020-07-22,47.178671,-122.26112,0.0,0.0,0.111289658375546,0,0,0.2983528971672058,7
51,51,{03831E51-5355-488C-A085-87FF05CDB0BC},2020-08-11 00:00:00,Was caught in a spider web at my house. I have it in a pill bottle.,0,"Thanks for the submission. That is a horntail sawfly, from the Siricid family.",2020-08-18,47.39665,-122.166717,0.260869565217391,0.080287482405631,0.139696822081382,0,0,0.5298284888267517,8
53,53,{03971218-C08E-40E5-BED9-2D64888E2BA3},2020-06-04 00:00:00, ,0,That looks like a yellow jacket. It is not an Asian giant hornet.,2020-06-04,48.839058,-122.616491,0.0,0.0,0.14402246269983,0,0,0.5346090197563171,6
54,54,{03A00CD2-54CC-4013-8D29-BD54E16CC891},2020-05-23 00:00:00,I found this group of bees at the park. They were all together at random distances from each other. They were not there yesterday afternoon. So maybe this happen overnight. They are dehydrated and some of them looked as if they were attacked by another i,0,"Oh, this is so sad. It looks like they may have been sprayed with something. :(",2020-05-23,47.666575,-122.282676,1.0,0.385724093789836,0.277712686250881,0,0,0.6872457265853882,5
56,56,{03B0838C-FD29-4398-81A7-0DE84FB34589},2020-07-18 00:00:00,"Was attacking our honeybees, significantly larger than all bees found in this area. Matches photos and description. TRAPPED TWO HORNETS alive, killed a third. varying in size but all around an american quarter circumference when rolled up. The photo belo",0,Thanks for the submission. That is an impressive closeup of a yellow jacket. ,2020-07-18,47.574808,-117.338426,1.0,0.554852120067912,0.231969667758471,0,0,0.7303576469421387,7
57,57,{03DD0741-4051-4468-8EEE-185E05876160},2020-09-04 00:00:00,This was flying around our yard so we sprayed with wasp spray so we could catch it.,0,"Thanks for the submission. That is a Urocerus sp. horntail sawfly, otherwise known as a wood wasp.",2020-09-04,47.94171,-122.299965,0.324110671936759,0.201406062298163,0.135158580215204,0,0,0.5396202206611633,9
59,59,{03F8A9BE-8CE2-4C02-BCCE-314598523B3B},2020-09-02 00:00:00, ,0,Thanks for the submission. That is a golden digger wasp.,2020-09-02,47.24858,-122.537,0.0,0.0,9.73404028783919e-05,0,0,0.3476214706897735,9
62,62,{0423197F-2EDD-4C9A-9CDC-7C1A77105A90},2020-10-15 00:00:00,"landed on my window at the spokane airport. it would not fly off despite driving nearly 40 mph, so i killed it because i was afraid it would get in my car when i opened my door. the picture is not great but i compared it to a picture in person and i was",0,Thanks for the submission. That is a paper wasp.,2020-10-16,47.61986,-117.53384,0.996047430830039,0.0955426622787687,0.101854177025088,1,0,0.7594020962715149,10
63,63,{042A66BC-E9DA-4704-95A9-BFF740144F8A},2020-07-31 00:00:00,Seen on garlic flower,0,Thanks for the submission. That is a Golden digger wasp. ,2020-07-31,47.4092,-122.188562,0.0790513833992095,0.0474858834155409,0.169188556420446,0,0,0.4598229527473449,7
64,64,{042B4EFD-1BA5-4EF3-AF7A-809C4D20A76C},2020-09-13 00:00:00,"On the ground, not really moving too much.",0,Thanks for the submission. That is a great golden digger wasp.,2020-09-13,47.692621,-122.38599,0.162055335968379,0.0465584884441672,0.185366202668277,0,0,0.6291528940200806,9
70,70,{0458624A-52DC-4C6B-8DAB-AD1FB54EB6D0},2020-08-02 00:00:00,Found dead hornet in pool filter.,0,Thanks for the submission. That is a female horntail sawfly.,2020-08-02,47.267459,-122.536725,0.126482213438735,0.117225984601991,0.222752912866533,0,0,0.5175243616104126,8
74,74,{04B3A8BE-2667-4A57-9E6A-D1C6D940F04E},2020-10-21 00:00:00,I was walking on the selah cliffs trail and found this on the dirt. I thought the head looked kind of like the murder hornet pictures I've seen.,0,Thanks for the submission. That is a Jerusalem cricket.,2020-10-21,46.70934,-120.460892,0.565217391304348,0.22684667927575,0.0716541005775733,0,0,0.7447254061698914,10
78,78,{04F3EA07-38E2-4D39-8281-B7F05D79807C},2020-05-29 00:00:00,Driving north I-5 hit windshield,0,Those clubbed antennae are a characteristic of the Cimbex sawfly.  ,2020-05-29,48.62604,-122.359763,0.122529644268775,0.0494155831286791,0.162672786788056,0,0,0.6942042112350464,5
82,82,{054CA377-72E3-4E41-820D-FF7599563E23},2020-08-17 00:00:00,Seen on my mint plant this morning in West Seattle.,0,Thanks for the submission. That is the Golden digger wasp. ,2020-08-17,47.550761,-122.359408,0.197628458498024,0.196487517335292,0.119637524108823,0,0,0.6124663352966309,8
84,84,{05561194-9CB6-4857-8626-DA2CED599AEE},2020-06-14 00:00:00,"Upon looking at the pictures of native species on your website, it looks like a baled-faced hornet. I have never even seen that kind of hornet either so I've attached a photo anyways, just in case.",0,"Yes, you are correct! Great job.",2020-06-14,47.737018,-122.249162,0.774703557312253,0.70253649046615,0.0585842497845327,0,0,0.2052920907735824,6
85,85,{056659D6-54D6-4976-B8D2-3271C6AF969F},2020-10-12 00:00:00,Came right up to my Arlo camera.,0,Thanks for the submission. That is a yellowjacket.,2020-10-14,47.134416,-122.327462,0.122529644268775,0.122827888264003,0.192472519924017,0,0,0.575819705040699,10
86,86,{057C3E09-D367-4E8C-9F9D-010DC98F318A},2020-07-16 00:00:00,Landed in the backyard of house that is close to a cherry orchard. Picture taken from about one foot away.,0,Cicada killer. ,2020-07-16,47.09705,-119.28578,0.41501976284585,0.0104476500276362,0.0239311378189491,0,0,0.565254807472229,7
87,87,{059D6B7A-D8F5-4A5F-8C4A-332A292EE409},2020-05-18 00:00:00,"Didn't notice the orange face, so not sure. Measured 1 1/4 inches. Large hook shaped stinger.",0,"Thank you for your posting! This is actually a ground beetle. It looks stripey because one of the hard forewings (the elytra) is torn off, revealing the abdominal segments.",2020-06-12,48.90749,-122.355099,0.363636363636364,0.315451639296126,0.355083089881554,1,1,0.6868486404418945,6
89,89,{05B7819C-9F7F-42EE-B2C8-AFEA5F79A520},2020-07-14 00:00:00,"It is my Mom,  She is 95.  She took the photo.",0,Thanks for the submission. That is a June bug beetle.,2020-08-19,47.764456,-122.148421,0.177865612648221,0.107157808634427,0.225209245222502,0,0,0.7470774054527283,8
93,93,{05C71645-C894-45CE-ACE0-E0466E164568},2020-04-25 00:00:00,I reported this earlier and did not think that had a picture .attached is a poto that I took of it,0,"That is an amazing, native elm sawfly!",2020-05-24,47.480287,-122.162668,0.383399209486166,0.2103490316348,0.121293814933162,0,0,0.2242766618728637,5
94,94,{05DE32C7-D533-4C4A-B2BB-B6AEB294F825},2020-07-15 00:00:00,We were in the Wallace River off the bridge close to 1st street.  A chair was sitting in the water.  I looked at the chair and saw the bee crawl up on the chair out of the water.  It crawled up to the arm and sat there in the sun.  Its wings looked at le,0,Thanks for the submission. That's a native elm sawfly. ,2020-07-26,47.863244,-121.696343,1.0,0.822760708080394,0.245392311834723,0,0,0.6142057776451111,7
96,96,{060FD7A4-AC6A-4C94-AE45-A31193BEC635},2020-07-25 00:00:00,It was on the woodpile caught it it's alive .,0,Thanks for the submission. That is the Lion longhorn beetle!  ,2020-07-26,48.074098,-123.347615,0.173913043478261,0.11450844174478,0.286084819955365,0,0,0.7333300709724426,7
97,97,{062208B5-23F3-4C90-BDD3-4B7F0A718A20},2020-08-05 00:00:00,"This was flying around our worksite.  We stepped on it then took the attached photo.  This was in Kent, WA",0,Thanks for the submission. That is a female horntail sawfly. Not necessary to kill them.,2020-08-05,47.397192,-122.257392,0.41501976284585,0.346196233337126,0.167737183639929,0,0,0.5265180468559265,8
102,102,{06A93A8D-9865-4855-8D92-044BF60A85A8},2020-05-20 00:00:00,You can call me on my cell 206-255-7713 if you can't access this video.,0,That beauty is an elm sawfly!,2020-05-21,47.3074,-122.23041,0.276679841897233,0.204087561039798,0.0284015962589309,0,0,0.575819705040699,5
103,103,{06B235BD-C11E-499C-9956-BBD1102FEF59},2020-08-01 00:00:00,It was surrounded by other bees and we could clearly tell it was larger and a different color,0,"Thanks for the submission. It was really hard to see, but it looks like a horntail sawfly, or a Golden digger wasp. Your county is currently negative for Asian giant hornet. Thanks for the submission. That is a Golden digger wasp.  ",2020-08-02,47.578559,-122.083444,0.363636363636364,0.300690278942499,0.149941780433978,0,0,0.575819705040699,8
104,104,{06D99D95-FB8C-4F87-9381-17F3FEB051C5},2020-08-19 00:00:00,"Was about an inch and a half long, but I didn't want to get too close so this photo is zoomed in and grainy l",0,Thanks for submitting. That is the Golden digger wasp.,2020-08-20,47.61676,-122.112496,0.426877470355731,0.387239139185465,0.0711264728082086,0,1,0.7072700262069702,8
106,106,{07352CB2-F701-4B02-99BC-86C9B77E02A2},2020-08-24 00:00:00,I have caught what may be an Asian Giant Hornet. I have sighted this bug 4 times on our property in Freeland Wa. The insect is 1.75 inches from nose to end of stinger. The face has a small amount of orange above both eyes. The legs are black and yellow.,0,Thanks for the submission. That is a horntail sawfly in the Urocerus genus.,2020-08-24,48.04979,-122.59155,0.996047430830039,0.574750674550661,0.225786167163329,1,1,0.6148530840873718,8
107,107,{07464825-53F0-44CF-86AE-6C03E0AD7FC5},2020-08-02 00:00:00, ,0,Thanks for the submission. That is a Golden digger wasp. ,2020-08-02,47.14808,-122.1591,0.0,0.0,0.278122752985126,0,0,0.4863218069076538,8
110,110,{0766E2D1-1BF3-4FE9-B149-A5B6F3E2EBD5},2020-08-24 00:00:00,I was picking my green beans from the garden a saw the bee alive on the leaf.,0,Thanks for the submission. That is a spider wasp.,2020-08-24,48.114817,-123.46578,0.300395256916996,0.273108483064428,0.0787667301224339,0,0,0.3145933151245117,8
111,111,{076DEDA1-899E-4FED-AB26-16FDC985985D},2020-09-09 00:00:00,Found in my garage. It’s now in a jar in my garage.,0,Thanks for the submission. That is a bald faced hornet.,2020-09-09,48.957439,-122.451843,0.197628458498024,0.0822854292625201,0.221274341414757,0,0,0.6703157424926758,9
112,112,{076EF0A1-E7C1-4BA2-AB5B-9DAB397AC12E},2020-09-05 00:00:00,Found in a spider web,0,"Thanks for the submission. That is a wood wasp, otherwise known as a horntail sawfly.",2020-09-05,47.501028,-122.229064,0.0790513833992095,0.0616057806188225,0.0496156040059223,0,0,0.7617363333702087,9
113,113,{07848B4E-5501-4B83-993A-687FE7BC1F7C},2020-06-23 00:00:00,Attached photos of the insect are of it alive. We killed it and have kept it in a container if further inspection is needed.,0,That is a gorgeous sawfly! Harmless to humans and great for our ecosystems.,2020-06-26,47.950241,-116.873687,0.486166007905138,0.0776017949409117,0.306438275941455,0,0,0.539019763469696,6
114,114,{0794C409-7322-4387-8E21-8CB6505E6316},2020-06-30 00:00:00,Was laying in the middle of the road. Took pictures before and after it was ran over.,0,That's a ten lined June bug beetle.,2020-06-30,47.305708,-122.210226,0.33201581027668,0.0837693580326691,0.147411218845563,0,0,0.4140676856040954,6
115,115,{07A59172-FD68-4803-8EF6-B11324C11BC0},2020-06-20 00:00:00,It followed me into the porch and I caught it in a mason jar.,0,"That is a yellow jacket, not big enough to be an Asian giant hornet. ",2020-06-20,48.604597,-118.515716,0.237154150197628,0.208265861686358,0.100993807093852,0,0,0.575819705040699,6
116,116,{07AACADA-6EA6-4D5C-A9E3-349C901EB421},2020-06-27 00:00:00,"A very large hornet about 1.25 inches long. It doesn't have the vivid yellow face but has a very big, mean looking stinger.",0,That is a beautiful sawfly with her ovipositor. She uses it to lay eggs into trees. Please don't kill them. ,2020-06-27,48.764655,-122.462429,0.482213438735178,0.335573159512458,0.0430297089903408,1,1,0.7441132068634033,6
117,117,{07B4F276-4757-4E3B-B5F4-3DCA24445B69},2020-06-24 00:00:00,I found it on the beach didn’t think about keeping it .,0,That looks like the markings of a Cicada killer. ,2020-06-25,48.03897,-118.265801,0.213438735177866,0.175879150174801,0.21521713324313,0,0,0.2127369493246078,6
121,121,{082C6831-2DF5-4A33-BA02-CF313C06CBD0},2020-06-27 00:00:00,Found dead on sidewalk in Seattle (1st and University). Not sure if it is a hornet or not. Shoe in picture for size.,0,Thanks for the submission. That is a June bug beetle.,2020-08-01,47.606681,-122.338232,0.454545454545454,0.0334152456716894,0.19742260595584,0,0,0.6396549344062805,8
123,123,{0837EBEA-1E4F-4D39-A7FF-D6A56D635765},2020-08-05 00:00:00,"While docking my kayak I heard a loud buzz and then saw this flying at me.  I swat it with my hat.  I tried to step on it and it still didn't die.  I trapped it with a rock and got a pair of pliers, it tried to sting and pinch the pliers.  It wasn't unti",0,Thanks for the submission. That is a Cicada killer. ,2020-08-05,47.627789,-119.327652,1.0,0.410826762233356,0.0771834863669356,0,1,0.6464830636978149,8
124,124,{084B455D-E3F1-4FA3-8C30-952070217855},2020-08-04 00:00:00,bizarre aggressive very large wasp I've never seen before,0,Thanks for the submission. That looks like a Golden digger wasp. ,2020-08-04,47.191473,-122.300933,0.221343873517787,0.0493962220309178,0.293398456188774,0,0,0.2529276013374328,8
128,128,{088BC50A-2389-4B67-86D9-39F9178870F6},2020-09-08 00:00:00,"1"" , black head orange tail and looked bigger before squished.",0,Thanks for the submission. That is a great golden digger wasp.,2020-09-08,47.309399,-122.225668,0.241106719367589,0.0417766142238734,0.0117440801340114,1,1,0.2863125205039978,9
129,129,{089925C0-5A1C-4AB7-8C04-FFECB8CFA1DE},2020-08-26 00:00:00,Have seen multiple hornets in our back yard and nearby - the picture provided is from a zoomed in video which we can send if necessary,0,Thanks for the submission. That is the great golden digger wasp.,2020-08-26,47.638059,-122.36258,0.525691699604743,0.501490681239887,0.0623397370744758,0,0,0.575819705040699,8
130,130,{08A38C25-9B0F-46E0-A190-565245411BCB},2020-08-02 00:00:00, ,0,"Thanks for the submission. That is a harmless, horntail sawfly female.",2020-08-02,47.19044,-122.29537,0.0,0.0,0.208873394119835,0,0,0.6184104681015015,8
131,131,{08ADAE58-D36F-4657-A459-E3C8386E1091},2020-07-26 00:00:00,Possible see one at the Semiahmoo spit near the small parking lot/pull off along side the trail.,0,Thanks for the submission. That is a Golden digger wasp. ,2020-08-01,48.985448,-122.778977,0.375494071146245,0.0285953453468103,0.159057626875945,0,1,0.7361758351325989,8
133,133,{08ED1BF2-C86B-4898-8110-F1E5B856E5DD},2020-06-13 00:00:00, ,0,That was a native elm sawfly. Please don't kill them! They are important to our ecosystem.,2020-06-17,46.520671,-124.040339,0.0,0.0,0.0661363043680745,0,0,0.7310975790023804,6
135,135,{08FE402B-B850-40CD-8E9E-83EAC23E6F57},2020-09-05 00:00:00,"Found on Camano Island, Wa.",0,"Thanks for the submission. That is a Urocerus sp. horntail sawfly, otherwise known as a wood wasp.",2020-09-05,48.20631,-122.46102,0.102766798418972,0.0085732506701625,0.430897522957625,0,0,0.5079981088638306,9
136,136,{0907B390-716B-467E-BE13-A358C15587F9},2020-08-18 00:00:00,"North Kitsap  County, Kingston. I have the specimen trapped now its alive. Its got a huge stinger on him.",0,Thanks for the submission. That is a Siricid horntail sawfly.,2020-08-18,47.808685,-122.574646,0.411067193675889,0.0056746894060413,0.0164742984253612,0,1,0.3708921670913696,8
141,141,{0951A935-C7AF-42AA-ADAF-3F920F14A1A4},2020-08-10 00:00:00,Trail behind Haggens grocery.This morning on my trail walk I spotted and photographed and dead hornet.,0,Thanks for the submission. That is a Cimbex sawfly. Native to our area. ,2020-08-10,48.4185,-122.307552,0.399209486166008,0.244629305515818,0.0802351066684625,0,0,0.5312830209732056,8
143,143,{0959481E-8F0F-47D3-8BE6-1C9CD399DA3F},2020-07-24 00:00:00,Twitching on the ground,0,Thanks for the submission. That is a Golden digger wasp. ,2020-07-25,47.42423,-120.34627,0.0869565217391304,0.0645018289635349,0.0720464594690439,0,0,0.4661964774131775,7
145,145,{096E530A-DF58-4A49-8756-71A3A2E692C7},2020-07-04 00:00:00,"Suspect murder hornet found in Lilliwaup, WA along Eagle Creek",0,"No, that's an elm sawfly. ",2020-07-04,47.485743,-123.079233,0.241106719367589,0.104740762461068,0.110590944261957,0,1,0.5950866937637329,7
146,146,{0972B5CA-6F24-4E24-B5CD-FAFEFBFC4839},2020-05-04 00:00:00,Damn near 2in long and thick,0,This is a native sawfly.,2020-05-04,48.112992,-122.060976,0.106719367588933,0.0623463310100585,0.0299854124641683,0,1,0.5486955642700195,5
150,150,{09A145AC-F0D7-4C2B-B9C0-BAABD687277C},2020-08-04 00:00:00,Found dead on driveway,0,Thanks for the submission. That is a ten lined June bug beetle.,2020-08-04,47.640059,-122.150326,0.08300395256917,0.0553148963724903,0.260774358090056,0,0,0.4938789010047912,8
152,152,{09A4690A-B05B-4F8B-89EE-0AB6F80C873F},2020-08-31 00:00:00,"I sent a message several days ago that I saw what I think was a murder hornet in my yard. Today, I found one dead on my driveway. I have attached a photo.",0,Thanks for the submission. That is the great golden digger wasp.,2020-08-31,47.56532,-121.865455,0.604743083003953,0.371006538623764,0.138277739289117,0,0,0.2004976421594619,8
154,154,{09B1DAB2-8F8D-4B5F-A6E8-37501782E432},2020-07-19 00:00:00,"I have seen a lot of yellow jackets and wasps on the security cameras but nothing this big so I am reporting it just in case. The photos are not zoomed in and the camera is mounted up high, I thought at first this was a bird.",0,"That has the coloring of a bald faced hornet, which can be bigger. We've been getting other reports of them around the state. Also, your county is currently Negative for Asian giant hornet. ",2020-07-20,47.161465,-122.029685,0.885375494071146,0.334262487135173,0.909762633402718,1,1,0.575819705040699,7
155,155,{09D55E53-EF23-4F1B-A0DF-D4DC55060931},2020-08-28 00:00:00, ,0,Thanks for the submission. That is the great golden digger wasp.,2020-08-28,47.307189,-122.371999,0.0,0.0,0.0636404027974663,0,0,0.6495956778526306,8
156,156,{09E4B37E-D2BE-481E-9E7B-DEDA9D12D90D},2020-10-02 00:00:00,Got ran over in the garage. But the 2nd one I’ve found on the property that appears to be oversized bees. Both were ran over unfortunately.,0,Thanks for the submission. That looks like a grasshopper.,2020-10-02,47.2022,-122.23972,0.545454545454545,0.260362834500743,0.159020521129953,0,0,0.690890371799469,10
157,157,{09E76D56-D893-406F-834B-99FA42F03CDC},2020-06-17 00:00:00,Burrowing in the newly mowed lawn in my front yard,0,"That is a bumble bee. They are ground nesters, so you might be lucky enough to have one in your yard! Enjoy watching them!",2020-06-17,47.544377,-122.383195,0.193675889328063,0.150993706492391,0.395283479165701,0,0,0.4482903480529785,6
158,158,{09F66D30-3CF9-4095-BBBA-79B25D5E2C9C},2020-09-01 00:00:00,In dogs water bowl.,0,"Thanks for the submission. That is a Urocerus wood wasp, also known as a horntail sawfly.",2020-09-01,47.896237,-122.104074,0.0711462450592885,0.0187399636630994,0.0796090895552629,0,0,0.6104140281677246,9
160,160,{09F8A9C3-1692-4DE3-9EE1-3FD1DEACFFD5},2020-07-31 00:00:00, ,0,Thanks for the submission. That is a Golden digger wasp. ,2020-08-03,48.06114,-122.1769,0.0,0.0,0.103169692972618,0,0,0.5355508327484131,8
162,162,{0A07A344-D5E4-4B85-9C62-0A1F509116BE},2020-09-11 00:00:00, ,0,"Thanks for the submission. That is a Urocerus sp. wood wasp, also known as a horntail sawfly.",2020-09-14,48.49268,-122.63295,0.0,0.0,0.379314108335587,0,0,0.6553708910942078,9
164,164,{0A3445CA-7617-4005-8518-BF0BAA883377},2020-07-13 00:00:00,"It was HUGE! Just got our tent set-up,kids crawled in to check it out & then I heard my son yelling.",0,Thanks for the submission. That is a Cicada killer. ,2020-07-28,47.8411,-120.01751,0.391304347826087,0.187963693836624,0.118058339047061,0,0,0.7938919067382812,7
165,165,{0A3FD318-42D1-49B1-98DE-16CFBCE60E80},2020-09-16 00:00:00,Flew past me and landed on a tree in my yard.it is approximately 2” long.,0,Thanks for the submission. That is a wood wasp.,2020-09-16,48.10739,-122.4382,0.284584980237154,0.116894533860408,0.118778319376463,0,1,0.7866913676261902,9
