,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,FileName
734,{204DA998-2F64-40CD-9A52-30D25D272CF5},2019-03-20,Observed on a few occasions what looked to be this giant hornet in my garden on Vashon island in Washington state.,2, ,2020-05-03,47.372105,-122.460063,
1581,{47BBB2BB-2996-4BF5-8329-73F28A7E5778},2019-04-20,We were at flower world shopping for fruit trees and there was a hornet about three inches large up in the rafters of the far east building next to the fruit trees.  I did not take a photo as I don't usually carry phone with me but there were others ther,2, ,2020-04-08,47.8062,-122.1048,
4840,{DB01EEBC-66F4-4012-A16B-DDE2365FAE24},2019-05-01,"Had never seen it prior. Large. Big eyes. Think it might be the same. Seen last year 2019. Near Wilson Playfield, Covington/Kent area.",2, ,2020-08-03,47.375451,-122.168378,
853,{259AADEA-CE63-4151-B4A2-11F75F79FD10},2019-05-02,I saw this over a year ago on bainbridge island. It was massive. I took a picture but forgot about it. Please let me know if this looks like an asian giant hornet.,0,That's a native Cimbex sawfly.,2020-06-12,47.626955,-122.539736,ATT441_IMG_9859.jpg
1932,{589E0AD2-4EEF-4588-8969-158B084727AE},2019-05-05,It was the largest nastiest thing I've ever scene I new right a way it wasn't from around here it flue into my room through window walked around on my wall for a min I watched it from the my bed room door it was like the size of a bird it's been eating a,2, ,2020-05-07,47.292402,-122.251238,
2906,{839AB8A0-B647-4FD1-80FA-91FF73DB0119},2019-05-09,"We are unsure this was an Asian Hornet, but it was certainly unlike anything we had seen before...or since. Here is a link to the original Facebook post. ( ",0,This beauty is a Cimbex sawfly!  ,2020-05-04,47.203856,-124.200461,ATT140_64A89079-F3AA-43A8-921F-006DA2D3D4C8.jpg
3600,{A0D45071-DFD3-4F0E-9851-FFBD637FBF58},2019-05-10,"I didn’t take a picture, but I’m quite sure it was an Asian Hornet. It was quite large and had the same identifying markers as photos. It was only moving a little...on my deck. I brushed it off and put a rock on it.",2, ,2020-05-04,46.833371,-120.066181,
5163,{EB6CACF8-D71E-4C68-AE03-D2AEF2E42421},2019-05-14,"Last year I saw three of these hornets on Mercer Island. They were about two inches large, and had an orange tint. The date is an estimate. I believe I saw it sometime in the spring last year.",2, ,2020-05-04,47.57816,-122.21238,
2751,{7D0FB65F-A3EA-4436-AA6D-B379565CFE87},2019-05-15,I bee I saw looks exactly like the photos of Asian hornets I have seen. It was at least 3x bigger than any bee I have ever seen. 3-4 inches long maybe? I was hiking to the top of the Sumas Mountain DNR by the old cabin. I was quite close to the top of th,2, ,2020-09-11,48.924115,-122.255068,
2779,{7E522AE9-2155-4ECE-A3CD-34C4CB91650C},2019-05-20,I saw this hornet last year around this time in my yard.,2, ,2020-05-04,47.30505,-122.107544,
288,{0D232BA7-97A5-4810-A7A6-A4F70BC16809},2019-05-20,East Bremerton Kitsap county,0,This is a native elm sawfly.,2020-05-03,47.59787,-122.62958,ATT95_06700F96-2C5B-4A70-BDEF-EF84AE05DD76.jpg
4546,{CD18D749-4333-4A1A-96FC-1287A8F66B32},2019-05-22,Was by our pond and pulled some grass out of the groundat the edge of the water. I felt a burning on my calf which was only covered by boot socks. I figured i was stung which normally does not bother me much. But the pain became extreme and whatever was,2, ,2020-05-04,48.864727,-122.675513,
1125,{32CA4CD8-40F7-4A7C-80A5-C33E9CC42523},2019-05-31,I saw something very similar eating the sap on my cherry tree last spring. It was about 2” long with an orange head. It flew at me and I ran inside to tell my husband. I’m sorry I don’t have a photo.,2, ,2020-05-07,47.279815,-122.295034,
4210,{BF057831-EBCD-48C1-BADD-2DDB32C439DC},2019-06-01,"I believe we may have had these in a ground nest by our house last summer. Orange face, large. Unfortunately I did not take phone, but can excavate in nest site.",0,"Interesting - please be careful, but let us know if you find anything in the old nest.",2020-05-03,47.554623,-122.098662,
5069,{E5DD36A2-EF67-4AF1-8D42-4D5842F37F93},2019-06-02,I had them in Kitsap County last year. There were everywhere in the area of burley and purdy. I thought they were normal wasps until i stumbled upon some of them coming out of the ground. They were orange not the normal yellow. I tried searching what the,2,We will follow up with you. Stand by.,2020-05-10,47.417355,-122.637451,
1744,{4F21909D-6621-423B-BA4A-51DC5056ACB3},2019-06-03,"I, without a doubt, saw this hornet on the shoreline of Banks Lake in Grand Coulee WA near the NORTH DAM side of the lake.",2, ,2020-05-03,47.930489,-119.018941,
5257,{F075D7B4-8B61-43CC-9C9E-7C06DB39B3DC},2019-06-07,We have experienced what looks to be a huge hornet. Both time it sounded like a rock hitting our third story bedroom window 4 to 5 times before giving up and walking back and fourth across the screen before flying off.,2, ,2020-05-05,47.583232,-122.653887,
3490,{9BE173ED-873F-4DDA-A421-C433D0C98913},2019-06-12,"I saw a hornet of this size nesting in ground of Harbor Point Office Park, Mukilteo, WA parking lot in the summer of 2019. Actually what i saw was more like a paper wasp, as shown on your website, but the size of it freaked out all of my colleagues. I di",2, ,2020-05-03,47.896877,-122.323582,
5220,{EF1D664F-F908-4086-95C2-6C3B1A93FCB2},2019-06-16,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",0,"This is a native sawfly, Cimbex americana or Cimbex pacifica. Generally harmless, although thy can give a bite (no sting).",2020-04-07,47.766765,-122.552735,ATT22_20190616_153627.jpg
1907,{57878267-17E2-4283-A196-F92EDE7663AA},2019-06-19,"about a year ago, Boulder Lk trailhead, Tenas Cr Rd off the Suiattle River.  I marveled at the head for a minute before it flew off.  I have a state cert as a Home Inspector, I looked closely at this.  I also believe I saw two Long Horn Beetles there a c",2, ,2020-06-12,48.316977,-121.355142,
1540,{45EF3C6A-B070-4213-9939-0143C0C58862},2019-06-20,I had noticed several summer 2019 for a two month period..Haven't seen any this year so far.Must not survived winter..My assumption,2, ,2020-07-02,47.40177,-122.32429,
2731,{7BCD90C8-1CAE-4214-B4E5-F90A0F759F10},2019-06-20,Saw a few flying around my house at separate times. They were huge so I looked them up. . Meant to call last year but got distracted.,2, ,2020-04-09,47.351682,-122.088907,
1032,{2E70AF1E-0D0D-4BAC-A400-5FE6B882368F},2019-06-20,approximate date,2, ,2020-05-05,47.62986,-120.68945,
3514,{9D0203CA-5883-488D-81F0-BB4CCB6F9815},2019-06-21,"Stung me. Chased me and stung me. Big bruise, pitted crater  like abscess. Took 10 days to heal. Hurt sooo bad! In ground nest I couldn't locate. But on my property near wild rose bushes. No photo sorry",2, ,2020-05-03,48.1496,-119.771316,
747,{20BCFADC-9701-40D8-BBE0-2147FF4146F4},2019-06-22,"We had a few of these flying around our house last year. they were HUGE! Not sure exactly when. They were flying around our Hydrangias. I remember them because I had seemn them on TV. I didn't know they ""weren't here"" yet. I will send photos if I see the",2, ,2020-05-08,47.662922,-117.093958,
2948,{85411F65-B0D8-4D89-B654-684B14F3DE1F},2019-06-25,"I know this was before the official siting, but I came across this picture from lat June in Lake Chelan.  It was really large which is what caught my attention.  Not sure if it is one, but thought I would let you be the judge.",0,This is a Cicada killer wasp.,2020-05-13,47.84329,-120.02318,ATT158_4FB7D322-490A-4B49-A3C6-63CC70868997.jpg
2453,{6EFEECB0-C61F-4569-96B9-B0B608F1D1EF},2019-06-26,"The date is a rough estimate. I did not have a phone near me. I was standing right next to our tall hedge, so it was almost eye level. The hornet was sitting on top of the hedge. It would have fit across the back of my hand and it was so thick. I stared",2, ,2020-05-02,47.185779,-122.512439,
4194,{BDFD3A38-81E3-44A4-A131-5624F1D9B9E6},2019-06-29,"Took picture of large hornet June 29,2019 because I didn’t know what it was",2, ,2020-05-05,46.534437,-119.879898,
4744,{D5A0F6EB-E3D4-48A5-8F07-BD9ECE1A14F3},2019-07-01,"I have seen quite a few the last 2 Summers in Prosser, Wa!  I have killed quite a few in my backyard, as they seem to be attracted to it after I water!  These are easy to identify with their fluorescent orange color, size, & loud buzzing sound when they",2, ,2020-05-05,46.207489,-119.765568,
2809,{7F2880E0-8188-4192-AD10-5DF1408F35A6},2019-07-02,This is my contact info from the prior submission of the sighting of a asian hornet nest last year in port angeles wa near Stevens middle school in alley between 12 and 13th on e st in the east end of the alley on the north side,2, ,2020-07-02,48.118052,-123.464837,
4179,{BD2BE97E-EC5A-44B8-856E-5F84E06F1672},2019-07-04,Not sure if it was the Asian giant hornet but it was larger than any hornet I have ever seen approximately 1.5 inches. Looked familiar to the pictures I have seen of the Asian giant.,2, ,2020-05-06,47.593032,-119.369847,
4442,{C8D009E9-8534-44EE-A7C3-90711C7CE8C7},2019-07-04,I’ve seen 3 of these.,2, ,2020-05-05,47.319254,-119.557539,
4827,{DA2999E6-B8F3-4BE9-B9E3-CB52F8F1C1DC},2019-07-06, ,2, ,2020-04-09,46.940812,-119.963979,
139,{0752FE56-5D25-489F-AC37-86E6FB0196AA},2019-07-08,Was driving by soap lake and got hit in the head by one.,2, ,2020-04-08,47.530211,-119.492792,
4478,{C9E949D5-5330-4A8E-B4D4-18998D0346C9},2019-07-10,We found this guy eating our rhubarb plant last year. It was the biggest stinging insect I have ever seen. I looked it up and they said it was an Asian Hornet and it was harvesting my rhubarb leaves as nest building material. We took pictures so I could,0,"This a species of Sphecius, commonly known as cicada killer wasps",2020-05-03,46.579221,-119.005588,ATT101_Hornet 1.jpg
2269,{665DC9DF-3B98-4E91-937B-8FD4EE3C9E1D},2019-07-10,I noticed these in the ground beside our home last year.  I flooded the ground and beleived they were killed or driven off as I did not notice them since a few attempts at flooding.  They were coming out of a number of holes in the ground in an area abou,2, ,2020-05-04,47.527698,-122.260323,
3026,{89025798-7CB9-42CB-A749-305D2AF9275B},2019-07-11, ,2, ,2020-06-12,47.858725,-119.1216,
